name_of_the_slum,created_at,updated_at,the_geom,circle_number,ward_number,population,households,number_of_bpl_households,minority,caste_general,caste_sc,caste_st,caste_obc,literacy_literates,literacy_illiterates,tenure_patta,tenure_possession_certificate,tenure_private_land,tenure_public,tenure_rented,tenure_others,structure_pucca,structure_semipucca,structure_kuccha,avg_monthly_income,avg_monthly_expenditure,debts_outstanding,zerotoone_years_of_stay,onetothree_years_of_stay,threetofive_years_of_stay,morethanfive_years_of_stay,female_headed_households,age
Surya Nagar,0027-09-03 00:00:00.68-04:56:02,57:15.9,0106000020E61000000100000001030000000100000014000000D8A9036AFBA45340D7C13DA620723140A0F300D4DCA45340B11277E54872314038EEFFA9D9A453407CDCAFE9DE713140D8B0215BDBA45340EA963D2BB7713140803B9DF4DCA45340966FD2B9B371314040C63869E3A45340A170AE9CAF713140B0DBAF82E9A453404AE29C7CAA71314090061ED2EFA45340363AFE03A5713140505CBA3EF6A45340753487709F71314030876C86FCA4534013147B8B9A71314010B2CE2D02A5534021F5853994713140F0DC00CA06A553400D307CB38E713140C807D3980BA553406298D76D8971314028A91A320CA553402FBF9A2D9A713140884AA2A90CA55340FB746B8CA3713140D8F7FABD01A5534075A701A4B2713140807702CC02A553402420CB27D0713140C03F000407A55340DE8E705AF07131405067FF4DF9A45340463C9F2203723140D8A9036AFBA45340D7C13DA620723140,1,4,1272,331,202,10,5,7,0,319,1271,1,15,0,310,2,3,1,245,84,2,5003,4992,36677,0,0,0,331,16,
Vasavi Nagar,0029-07-06 00:00:00.68-04:56:02,57:40.4,0106000020E6100000010000000103000000010000000E0000000000002E0DA253405F6969187E62314000000046F5A1534086304A9193623140000000FAF5A153407BA19AB2A762314000000058E3A15340187DCD24B962314000000020DFA1534001AAA24E6B62314000000088E0A1534017BC2E7E546231400000006EEBA1534042D680634462314000000014EBA15340D17B7D4F386231400000000EF1A15340D7C496EA2E623140000000A0F5A15340D17B7D4F386231400000003A01A25340A764837750623140000000E807A2534078944B2D57623140000000120BA25340A2EC30A66C6231400000002E0DA253405F6969187E623140,2,6,1440,352,210,9,46,32,8,266,1311,129,118,8,25,0,200,1,320,24,8,5095,4928,43250,32,33,10,277,29,
Venkatareddy Nagar,0031-03-09 00:00:00.68-04:56:02,57:49.0,0106000020E6100000010000000103000000010000000E00000000000066E4A153400087762BBD623140000000C8EBA153407F550F302763314000000064D7A15340BDFE68003E63314000000034DAA15340F68C765D766331400000004CC2A15340A91FF1C8836331400000006EBEA153400A1C1ACA50633140000000DEC6A153408470CEBC486331400000004ECFA15340C8B5F5573F633140000000ECC7A15340A70D44B9AB6231400000000EC4A153409DD7A1768362314000000010D1A15340CCD230BA78623140000000B6D0A153406AE54C4163623140000000C6DEA1534078944B2D5762314000000066E4A153400087762BBD623140,2,6,4085,975,847,47,141,64,10,760,3862,223,510,4,3,0,456,2,503,303,169,5887,4763,49261,79,40,33,823,155,
Marriguda,0033-10-17 00:00:00.68-04:56:02,57:58.0,0106000020E6100000010000000103000000010000000800000000000078FCA45340FCA8BF51C4723140000000FCFFA45340506A75F854723140000000C21BA553404D67EAC534723140000000A01FA5534048F1591E6D7231400000006221A553404FC439BB9A723140000000D616A55340D207C22CE37231400000007A09A553405FFCD719D772314000000078FCA45340FCA8BF51C4723140,1,3,723,188,116,15,77,32,10,69,629,94,112,1,12,1,54,8,137,34,17,4772,5144,54596,7,17,27,137,11,
Ram Reddy Nagar,0032-11-08 00:00:00.68-04:56:02,58:12.2,0106000020E610000001000000010300000001000000110000008720FFB3C3A15340B22870DB8C6231407785FC3BB4A15340AD2D02848B623140747AFF9BAEA15340F4250AE35D623140465FFF7D9FA153408A3F692C8A623140A6A7FA5BA3A15340D5081E5BA662314035BDFE03B0A15340F22B101C1B6331401A48FEFDB5A15340514C9CE460633140810A0574B8A1534010D6F7C883633140A295FFB9BDA153402E15C039C8633140A5520506BDA1534066D33A3FFF6331404863FE1BC5A153401AFC9A38FB6331400C6303D0C5A15340291A52E2C66331404B200468C4A153401ABEE89F9E633140E45DFDF1C1A153405BAD97CF8763314027D803D6BFA153406FC6BCD05463314055F303F4CEA15340D4A304583F6331408720FFB3C3A15340B22870DB8C623140,2,6,2460,569,488,46,23,27,8,511,2243,217,339,12,0,0,214,4,333,205,31,5102,4615,23436,54,31,35,449,70,
Nehru Nagar,0046-05-12 00:00:00.68-04:56:02,58:27.4,0106000020E6100000010000000103000000010000000C000000901604E237A55340185DFF2A97743140E084013251A55340E88921188B743140680A000254A553405832AE550E743140807F00084EA553409CE52E9995733140E0BCFE454CA55340DE98B74D6573314040C23F4E4FA55340812FCCA94073314090DB1D8F4CA553401A5CDE7E40733140D8F4FB5947A553404B24B0BD3F733140B096018837A553403844051C7C7331405059034A39A553402A5FC8D1B9733140701CFBA339A553404C4D699A03743140901604E237A55340185DFF2A97743140,1,3,4220,996,934,36,52,302,123,519,4189,31,601,122,0,2,271,0,300,671,25,3068,3058,64054,10,8,3,975,326,
Singam Cheruvu,0047-11-09 00:00:00.68-04:56:02,58:40.5,0106000020E610000001000000010300000001000000040000000000009793A353402FF96001D16F3140000000DA9BA35340F4DF4E7DB36F3140000000AE8BA35340EDEB1E7AB16F31400000009793A353402FF96001D16F3140,1,4,267,60,56,1,1,1,58,0,191,76,17,0,0,34,8,1,9,50,1,3673,3665,52833,3,1,0,56,7,
Baba Nagar,0050-12-09 00:00:00.68-04:56:02,58:49.1,0106000020E6100000010000000103000000010000000C000000000000CE4DA35340223DAAB6D76F31400000004063A35340FAEAF838BE6F31400000000265A35340E47BC2A1946F3140000000364FA35340355B4517736F31400000002E48A35340D6869B79456F3140000000A837A35340720A2104676F3140000000E635A3534050CC7652CE6F31400000004630A35340DBE64BAD3D7031400000006A39A353409ACE178F607031400000002047A35340AC5BA9F1327031400000004450A3534087A48998FA6F3140000000CE4DA35340223DAAB6D76F3140,1,4,873,180,133,45,84,37,3,56,621,252,122,23,5,0,27,3,97,82,1,5771,5450,49217,0,0,0,180,25,
Hanuman Nagar,0052-07-07 00:00:00.68-04:56:02,58:56.3,0106000020E61000000100000001030000000100000008000000505C01646CA35340813838A6616F31401084FB455DA35340B1AAE4FB2B6F314070A002F049A35340DBAED72E4C6F3140B83003AC51A35340DFD4ED106F6F3140D0FBFEA854A35340CE0B60C9776F3140E0C6FAF95DA35340A971A8DF856F31409811FEB862A353404AAF0514716F3140505C01646CA35340813838A6616F3140,1,4,503,130,113,56,49,28,16,37,502,1,52,6,1,1,69,1,23,106,1,5239,5195,5622,5,0,0,125,21,
LB Nagar Old Village,0051-04-03 00:00:00.68-04:56:02,59:04.8,0106000020E6100000010000000103000000010000000B000000000000DF4BA353400D79F8B9F45831400000005B48A35340974928CBFE5831400000005E45A35340E47A9811F65831400000002137A353403F041A393F593140000000BE3FA353403BE2DF5E555931400000001D4AA353407C368EE6725931400000009E50A35340F77D40B185593140000000BA52A35340496F6BED765931400000401152A3534013FC753C735931400000000B5CA353405D0B769E48593140000000DF4BA353400D79F8B9F4583140,3,9,2471,555,515,188,210,57,3,285,2276,195,82,0,0,3,320,150,306,219,30,4390,4128,47735,4,4,6,541,14,
LB Nagar Back Side Ward Office,0054-09-16 00:00:00.68-04:56:02,59:09.1,0106000020E6100000010000000103000000010000000A0000000000003B59A35340260E5F7F9A5931400000005044A3534080A4B722645931400000004E37A353402A484A8D3E593140000080AB2CA353400EA0FCFC1B593140000000A120A35340ED88AF0A56593140000000D32AA35340496F6BED765931400000007330A3534064E8AEB487593140000000B03EA353402088B8FCB1593140000000FE4AA35340D522338BD35931400000003B59A35340260E5F7F9A593140,3,9,3737,900,835,129,198,163,15,524,3737,0,112,3,1,6,591,187,516,341,43,4069,3813,27637,30,16,20,834,29,
Erukala Basti,0052-10-08 00:00:00.68-04:56:02,59:17.1,0106000020E61000000100000001030000000100000006000000000000943CA35340347632200D6F31400000005F35A353406EDFAEE6E86E3140000000AA44A35340517EE248BB6E3140000000A747A35340573389B3C86E31400000001840A353400AA7253EEA6E3140000000943CA35340347632200D6F3140,1,4,704,178,175,29,48,42,22,66,566,138,91,0,0,1,85,1,89,85,4,3566,3614,26978,3,2,5,168,29,
Sri Shankar Colony,0053-05-03 00:00:00.68-04:56:02,59:26.6,0106000020E610000001000000010300000001000000050000000000003145A35340A33492EC3E5A3140000000B845A353406077D485025A31400000007B64A353408B897D38075A3140000000D267A353402C5E12A6475A31400000003145A35340A33492EC3E5A3140,3,9,171,42,40,1,7,6,0,29,161,10,5,1,0,0,30,6,35,7,0,5571,4200,35952,0,2,3,37,7,
Errakunta,0054-03-10 00:00:00.68-04:56:02,59:35.4,0106000020E6100000010000000103000000010000000A000000000000A837A353405F0D9EF4BB6E31400000007E34A35340D5E13DAE8F6E31400000003235A35340F85D81E27A6E3140000000293EA353409F18E7D8746E3140000000D447A3534035393A6E676E3140000000F049A35340994CA4A4896E31400000004450A35340A737298DB06E3140000000D447A35340B6B6D0F7BD6E31400000005E45A35340B9CC3ADEAD6E3140000000A837A353405F0D9EF4BB6E3140,1,4,1062,269,269,8,1,211,2,55,832,230,129,0,0,1,138,1,137,132,0,3178,3201,40475,0,0,0,269,26,
Saibaba Nagar,0054-01-05 00:00:00.68-04:56:02,59:50.4,0106000020E6100000010000000103000000010000000D0000005081FDBE5CA35340622A1E939C5B3140D0C301DB5EA35340AE0EE3E2665B314098D900CF6AA353400562E13D6A5B3140A0EFFA0E76A353408B204A8B655B3140A874036B83A353407EC86F73575B314060F703A684A35340725989F06E5B314068FAFCEE86A35340DC5DCF0B7F5B314068FAFC5688A353407C93DE2D935B3140789CFDDC6BA35340CDF37553A95B3140B04304355FA35340B1FFD70CB25B31401884FBF95DA35340D4ED7064B35B314040C1FEEB5CA35340622A1E939C5B31405081FDBE5CA35340622A1E939C5B3140,3,15,631,133,130,1,13,91,0,29,501,130,45,9,0,6,33,40,43,78,12,4274,3435,63158,1,2,4,126,31,
"Gandhi Nagar , Nacharam",0055-04-09 00:00:00.68-04:56:02,59:54.8,0106000020E61000000100000001030000000100000005000000000000EA7CA35340874DC426706E31400000007F7EA3534004E5BEA6C06E3140000000E095A3534064BE2C5D926E3140000000628CA35340EDCCF729726E3140000000EA7CA35340874DC426706E3140,1,4,516,128,126,11,10,39,0,79,426,90,39,0,0,1,88,0,127,1,0,4223,4018,33652,4,0,1,123,3,
Sai Nagar,0058-01-11 00:00:00.68-04:56:02,00:01.1,0106000020E610000001000000010300000001000000050000000000001F57A35340A617A0ABB76D3140000000DB5EA353402DBF2895A96D3140000000815EA35340521844B98A6D3140000000824EA353400ABEC99EAF6D31400000001F57A35340A617A0ABB76D3140,1,4,180,45,42,8,8,4,0,33,177,3,9,3,6,14,12,1,42,3,0,6816,6749,10667,9,0,1,35,2,
Rajiv Gandhi Nagar,0058-01-13 00:00:00.68-04:56:02,00:05.8,0106000020E6100000010000000103000000010000000D000000B061028E6FA35340F0E10EABAA5B314070A401F670A3534067A0CFD3C25B31405024045071A35340641C8603DF5B31405067FE0372A353404C9E99FD0D5C314040C5FD8982A35340571B6B98045C3140D0DA01328FA35340EE50A091005C3140D0E5FED194A353403FAAA3DBF95B3140B070FEBCA9A35340D0B807BDE75B314030E0022BA5A35340452BE299A05B3140F05AFFE1A2A353404E19BAC8895B314000D0FFDD88A35340AA05DDFBA75B3140C04AFC5985A3534074A1EA3E9D5B3140B061028E6FA35340F0E10EABAA5B3140,3,15,1774,404,404,83,93,125,86,100,1618,156,115,38,1,2,178,70,155,218,31,4002,3199,73899,15,40,40,309,87,
Mansoorabad Old Village Part 1,0061-04-08 00:00:00.68-04:56:02,00:18.7,0106000020E6100000010000000103000000010000000800000000000049E1A353402C5E12A6475A3140000000B3EFA35340329E20031A5A3140000000B9E9A353407E57C92AFF59314000000021EBA35340F9DD4859E8593140000000C6FAA353404C019FA6E35931400000009300A453409110FE66F0593140000000DC02A45340D59943FA465A314000000049E1A353402C5E12A6475A3140,3,9,591,133,130,37,47,22,2,62,515,76,66,0,0,2,63,2,61,69,3,3761,3241,11421,4,2,3,124,1,
Ambedkar Nagar,0058-11-02 00:00:00.68-04:56:02,00:31.0,0106000020E61000000100000001030000000100000008000000107904931FA35340BC5DCC57596E314090FE02391FA35340D213F03A476E3140D0C6006322A353400B176173FF6D31407094FF0228A353408CD87A4AB06D3140C019037330A3534008FE724AB06D3140201F044333A353406A3E87A31D6E3140408103922FA35340DD313FDF786E3140107904931FA35340BC5DCC57596E3140,1,4,1303,324,324,91,18,188,7,111,869,434,90,0,1,0,233,0,207,99,18,3749,3744,30627,9,1,0,314,45,
Mansoorabad Old Village Part 2,0060-02-03 00:00:00.68-04:56:02,00:39.5,0106000020E6100000010000000103000000010000000800000000000056F2A35340F0BF9433D25931400000008202A4534089D588C0C05931400000002802A45340FD065224975931400000009E04A45340DF5ECC957559314000000012FAA35340FC48FC145C5931400000002CEFA3534009E7B0DF6E59314000000002ECA35340038DA989A059314000000056F2A35340F0BF9433D2593140,3,9,396,89,83,2,5,40,0,44,360,36,39,1,1,0,41,7,59,27,3,3739,3336,0,4,1,0,84,2,
Vijayasree Colony,0004-12-11 00:00:00.68-04:56:02,30:25.0,0106000020E6100000010000000103000000010000000C000000000000CDC5A4534017AF474AE558314000000092C4A45340C526F52CA25831400000000BC4A45340F7EE00EF7D583140000000D0C2A45340AE190F4F525831400000007BCCA453403F53AF8741583140000000D5CCA45340F726C8612B58314000000040CBA453400D4A2EA822583140000000B8DAA453400D4A2EA8225831400000007ADCA453404BE8EF6F97583140000000EED1A453400E8F1FC496583140000000FCD2A45340C29E779EE4583140000000CDC5A4534017AF474AE5583140,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mansoorabad Harijanwada,0004-06-09 00:00:00.68-04:56:02,01:11.4,0106000020E61000000100000001030000000100000009000000000000D30BA453405D17E7B0E9593140000000E409A45340EE400207B85931400000009B07A45340260E5F7F9A593140000000BA06A4534041AC8BBB8B593140000000490EA45340801EEF8E715931400000000516A4534066E9CBC05C593140000000B619A45340D09700EFA95931400000002C1CA4534097BC004FE2593140000000D30BA453405D17E7B0E9593140,3,9,1276,306,202,9,28,58,10,210,1213,63,38,2,0,2,163,101,142,126,38,3744,3627,43455,13,4,4,285,4,
Pukat Nagar,0005-10-13 00:00:00.68-04:56:02,01:17.5,0106000020E610000001000000010300000001000000080000000000006003A7534084F5FE09857731400000001611A753409E58C37A5F773140000000FA0EA753405FFC7FEB397731400000008A06A7534071E3A9D2297731400000006CF7A6534024B36F171F7731400000006AEAA653400ADB99869E77314000000096FAA65340BF89FDB1BA7731400000006003A7534084F5FE0985773140,1,2,1104,283,274,36,47,72,4,160,835,269,124,5,3,3,138,10,62,197,24,4859,4512,46516,9,8,2,264,283,
Chintalakunta Village,0004-12-05 00:00:00.68-04:56:02,01:23.6,0106000020E610000001000000010300000001000000080000000000008BF9A3534053C828C0375731400000006FF7A3534090E2A5D210573140000000C1F0A35340F1331BD612573140000000ADF5A3534046DEDCF9F55631400000004AFEA35340461D39A2F4563140000000BA06A45340147B52FDF75631400000001407A45340A2A63C572C5731400000008BF9A3534053C828C037573140,3,11,516,130,73,3,10,21,4,95,481,35,19,0,0,4,87,20,67,54,9,3486,3174,38462,3,0,2,125,34,
Pedda Cherlapally,0006-05-13 00:00:00.68-04:56:02,01:33.2,0106000020E6100000010000000103000000010000000C0000000000003213A7534098805C235E773140000000C804A753406F3ACB0381773140000000E0ECA653403E931D60F4773140000000F621A75340A5314B1BFF773140000000083DA753403DDC99D197773140000000C624A7534099A8EDAC48773140000000CC1EA75340614E3EC621773140000000CE2BA7534024EC9E6FB27631400000006003A75340855AC5D3847631400000007AF8A653403E5ED2B919773140000000460EA7534049984AE5357731400000003213A7534098805C235E773140,1,2,2340,653,623,51,93,153,5,402,2291,49,254,3,6,2,387,1,272,337,44,3624,3547,53102,19,13,20,601,347,
Chinna Cherlapally,0005-03-05 00:00:00.68-04:56:02,01:43.4,0106000020E61000000100000001030000000100000007000000000000F621A753403FEFF188B57831400000001E18A75340B81BF8B563783140000000FE28A753408060FF005D783140000000822CA75340AAB0069082783140000000F234A75340A9FDA138817831400000000E37A7534048D8977CAD783140000000F621A753403FEFF188B5783140,1,2,1348,379,364,5,59,26,4,290,1198,150,176,1,0,2,199,1,234,138,7,4063,3957,62596,12,15,20,332,27,
Jahangir Nagar Colony,0007-06-07 00:00:00.68-04:56:02,01:50.9,0106000020E61000000100000001030000000100000006000000000000429DA353407B9B2A223F573140000000C0A6A35340757990E8EB563140000000DEB5A353400DC54C8C1957314000000014ADA35340F6D0CD7940573140000000DCA8A35340ECEE8B525B573140000000429DA353407B9B2A223F573140,3,9,402,85,74,61,69,2,0,14,393,9,16,0,0,0,57,12,60,22,3,4176,3736,17647,1,1,3,80,3,
Mallikarjuna Nagar,0058-05-07 00:00:00.68-04:56:02,02:01.1,0106000020E610000001000000010300000001000000090000000000005C46A453408BC68EBDE45C31400000006033A45340A392E9E4965C3140000000CC4EA453404FB6BB13805C3140000000A24BA45340AED5C4B6E05C3140000000285CA45340E2660344CF5C31400000006060A45340A2CDD194CC5C31400000001C68A45340DC294E30F65C31400000001254A4534095A189D2235D31400000005C46A453408BC68EBDE45C3140,3,9,844,212,207,5,23,25,1,163,785,59,52,17,1,0,91,51,143,67,2,4388,3461,61750,12,4,13,183,36,
Tyagayya Colony,0061-06-11 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000008000000000000745BA453406F455923215D3140000000EC6AA45340109048E6FC5C31400000006A74A4534069180B4C395D3140000000AA7FA453401386CD45685D3140000000068DA45340D0A96CABA45D3140000000C681A45340903FD2DAC05D3140000000DA7CA453407B4397E1C45D3140000000745BA453406F455923215D3140,3,9,560,134,131,5,17,18,3,96,518,42,22,7,0,0,79,26,76,53,5,4127,3576,50336,2,4,9,119,23,
Bandlaguda Old VIllage Part 1,0061-09-04 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000090000006081CED066A453400A868C8CD55E3140A8A2D0246DA45340F3C95DD3FB5E3140B0B667C473A45340DEE2EC9E1B5F3140C84EFE9A85A4534007CE0AA4185F314018ACC83C82A453406BC8325AE65E314018321E3D7FA453400DBBE835B45E3140F0557C9D78A4534043BA3577B65E31406000C86E71A45340384E4537BF5E31406081CED066A453400A868C8CD55E3140,3,9,826,213,208,7,16,49,6,142,807,19,76,20,2,6,94,15,87,105,21,4513,4411,19915,31,15,31,136,193,
Jaipuri Colony,0001-02-04 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000008000000300F034C65A45340974E778CAD6031408009CD467BA45340D75A8DC8B060314068CE34D384A45340C1F72D759B603140505B027488A45340C4DB5A915E603140F0799EBE62A45340D97B0A4964603140E85102AC5FA453402D1F30AC6E603140A0C1018856A453401C8B1A0AA7603140300F034C65A45340974E778CAD603140,3,8,2655,611,483,16,58,123,9,421,2502,153,216,45,2,39,180,129,342,242,27,4179,4616,99819,15,10,16,570,28,
Fatullaguda,0004-03-08 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000F00000010091D6FB6A45340CA254AFDE4603140903DB8CDB8A45340A1325B108C6031401025EA64B9A4534081FFE26A45603140509F4EF4B6A453401FCE05261E603140E0B7FF6DBBA453406C2C9B1816603140B0A0FEEDD1A453400362D0111260314038EEFFA9D9A4534008E4335507603140B873FE79DCA4534062EE41A59D6031403026FDBDD4A453407ACA289ECC60314070D800B6CDA4534005EEAB38F6603140E8470546C5A453400BF70468DF603140A0C201C2C1A45340A2B32F4DCF603140C03702C8BBA453407FC596F5CD603140A0B70422BCA45340E28608CDE860314010091D6FB6A45340CA254AFDE4603140,3,9,432,107,97,29,30,48,2,27,283,149,47,8,3,0,45,4,31,64,12,4277,6040,23084,0,1,1,105,59,
Blinds Colony (Jaipuri Colony),0002-06-04 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000A0FDFD3977A45340D15D126745613140A0BA038676A453400567B64C02613140C0FD02E796A45340380D81FCF660314000FC00629AA45340452CA4F433613140A0FDFD3977A45340D15D126745613140,3,8,1440,333,327,40,88,106,6,133,1232,208,135,39,1,0,132,26,236,94,3,4388,4013,85491,17,27,7,282,70,
Nagole Harijanwada,0006-11-09 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000130000000000009CF7A35340FBFA56F3326031400000005CECA35340710433A939603140000000C7EAA353403265C5003B603140000000D8E8A35340F0F3F98A27603140000000CDE4A353405D8365CE1C603140000000B1E2A3534051AC85B30C60314000000087DFA35340A7D46D44FD5F31400000001FDEA353408557D222E95F3140000000A6DEA3534084DC5AB0D75F3140000000E9E6A353400A2808EDC85F3140000000A5EEA35340581A1892C55F3140000000C9F7A35340E539112DBC5F31400000005BFCA353402C973077B55F3140000000F0FDA353407DC40312DF5F31400000002BFFA3534025CF2E7A1D6031400000000C00A45340A0948EAC3B6031400000007AFBA35340201FEAAF3D60314000000031F9A35340A0948EAC3B6031400000009CF7A35340FBFA56F332603140,3,8,406,91,71,1,3,79,1,8,313,93,46,8,0,0,37,0,51,35,5,5330,5121,65516,3,2,4,82,11,
Nagole Old Village,0006-09-08 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000013000000000000DCD5A3534076C483D48660314000000030DCA353408DDBBA2886603140000000DEE2A353408DDBBA28866031400000008CE9A3534076C483D486603140000000B6ECA3534002F2F17C85603140000000A8EBA35340D9741DFD6B603140000000C7EAA35340014A6AC74B60314000000013EAA35340094CB35B3E60314000000024E8A35340DAA39FEC2E60314000000073E4A35340A3AE8A7D1F60314000000068E0A3534077C799BD1260314000000022DBA353402D1B07661160314000000044D7A35340AD1C6369136031400000000CD3A353407488E680216031400000004AD1A35340B26933734C60314000000085D2A3534006708BA56A603140000000EDD3A35340A6DCBDC37C603140000000C0D3A353406694152C88603140000000DCD5A3534076C483D486603140,3,8,706,170,150,2,18,15,5,132,663,43,94,3,0,0,71,2,82,76,12,5053,3974,38294,5,6,5,154,10,
Mohan Nagar,0015-03-05 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000B0000007098041C00A35340AC787EAC3B603140502703B42BA35340601AE9B943603140A08A03002BA353404508438423603140A0CDFD4530A3534041C8D8C7E55F3140A0CDFDAD31A35340B1B09C9FCD5F3140D8B7FE2334A35340983CB733C05F314010A2FF2F28A35340983CB733C05F3140408C003C1CA35340BBB14577B55F3140F033FD2B0EA3534075D513C8B25F314070AEFE5B0BA3534080D9DA4E9D5F31407098041C00A35340AC787EAC3B603140,3,8,202,52,52,0,4,20,0,28,172,30,16,0,0,0,27,9,24,23,5,3669,3477,28454,1,2,1,48,6,
Kothapet Harijanwada,0017-10-11 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000010000000000000ACCAA25340748B7A84F05F314000000060CBA25340F9538B9FCD5F314000000090C8A253402C973077B55F314000000044C9A253400B1F3692925F3140000000F8C9A253408C60840B755F314000000084D4A253404A01ACBA775F314000000094E2A253402FA722C87F5F314000000020EDA2534068F298D5875F31400000003CEFA2534089AAD24E9D5F3140000000B8EBA25340EB16CB33C05F3140000000E8E8A2534037954A0BDB5F3140000000CCE6A2534053CA2E26EB5F3140000000FCE3A25340D2941141FB5F314000000010DFA2534007FDA7FD0560314000000070D9A2534016DD5C9F00603140000000ACCAA25340748B7A84F05F3140,3,8,686,166,163,15,23,110,3,30,564,122,63,2,1,0,71,29,67,75,24,3831,3458,37012,6,5,6,149,4,
Kothapet BC Colony,0019-08-15 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000D00000000000038A8A25340EE32FEACD55F3140000000B6B1A2534042E04F70E45F314000000064B8A2534016DDBC18E35F3140000000C6BFA2534060A8B14ED05F31400000007AC0A253404D358D55A15F314000000088C1A2534048B82948665F3140000000F6BCA25340C0844812465F31400000006AB2A25340288E635C3F5F314000000000A4A253404555CF043E5F31400000007CA0A25340E1193BAD3C5F314000000098A2A253400B1F3692925F3140000000C2A5A25340581A1892C55F314000000038A8A25340EE32FEACD55F3140,3,8,1051,251,230,10,22,25,9,195,853,198,68,0,2,0,177,4,137,96,18,5024,4869,37653,38,15,28,170,57,
Indira Nagar,0020-08-16 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000130000000000004028A253408DDBBA28866031400000007232A253409C319779836031400000008E34A253404E7EEEE18E6031400000001238A253402C966C94936031400000000F3BA253402C966C9493603140000000D13CA2534018F5CA328C603140000000FE3CA253407BBF4F1B7E603140000000393EA25340AC6CC2F969603140000000A13FA2534087837B365B6031400000001A3FA25340E235B325516031400000002B3DA25340A59CFCB943603140000000963BA253402135FC543A603140000000693BA25340EAF61E3A2A603140000000AD33A25340B06E6733266031400000002F2AA253401FB7558E296031400000001328A25340FBFA56F3326031400000001328A253403F5FE9DE596031400000000527A253405B62C05E736031400000004028A253408DDBBA2886603140,3,8,319,74,74,30,35,14,2,23,271,48,1,0,0,1,8,64,14,58,2,3318,2635,30709,5,1,0,68,6,
Kothapet Municipal Colony,0022-03-15 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000F000000000000B6D0A153400B1F3692925F314000000056D6A15340E6AFBA44975F3140000000F1D1A153404D358D55A15F314000000029D6A15340E22FB404A45F31400000005BE0A153400EDE09C8B25F3140000000DCE6A153402E72EA58A35F3140000000F5EBA15340E4F45601A25F31400000000EF1A1534043D0E1F3995F314000000068F1A153400C1AE20E775F3140000000E1F0A153405DF3B13A5E5F314000000006EAA153409959C11F4E5F31400000005BE0A1534077C2A615485F3140000000EBD7A153408997B37A515F3140000000E0D3A15340AA494EB7755F3140000000B6D0A153400B1F3692925F3140,3,8,1074,235,227,11,19,138,5,73,917,157,38,0,0,2,99,96,135,68,32,4180,3724,42243,5,2,5,223,20,
Tatachari Colony,0016-08-06 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000E000000D04BFF71469D5340FB8038F689723140B0FF7C533F9D53409CF72080AB723140E03BF73F3C9D5340535AC167D2723140C0DD797F4F9D53400DEF0776DB72314000857D177B9D5340AF93E4E1E9723140D04481CB7B9D53409FFD866CD5723140B02443937B9D534027BB4330CA723140A00405B57B9D534070E3239EBE72314048B405005E9D53408210FBCAA4723140C0F7F54B5D9D5340205E3A5A93723140E034F93D5C9D53400B9823D876723140B8E1FB0B529D5340A04F6882767231404054F9224A9D5340AA45443179723140D04BFF71469D5340FB8038F689723140,18,148,1024,265,258,3,38,63,77,87,716,308,196,19,3,0,44,3,260,4,1,4129,2822,23,2,0,15,248,193,35
Erukala Basti,0019-09-15 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000800000020BB8276859D534071408B9CBD723140207F8338879D534077648769D3723140208E02658F9D5340B53223B4CC72314058EDC4598F9D53401E1F466BB9723140307CE8FC8F9D534098770072A2723140509D1EB18C9D534040D21547A2723140E008FFE08B9D5340CADB9586AF72314020BB8276859D534071408B9CBD723140,18,148,380,102,97,7,8,20,33,41,378,2,81,4,0,0,13,4,82,13,7,2678,2415,0,2,0,0,100,29,40
